"Country","iso3","Region","Income","Year","GDP","Unemployment","Inflation","LifeExp","LaborForce","Continent","COVID"
"Afghanistan","AFG","South Asia","Low income",2019,557.861533207459,11.185,2.30237251516839,62.941,43.823,"Asia","Pre-2020"
"Afghanistan","AFG","South Asia","Low income",2018,553.125151688293,11.196,0.626149149168802,62.443,45.57,"Asia","Pre-2020"
"Afghanistan","AFG","South Asia","Low income",2016,563.872336723147,10.133,4.38389195513915,62.646,47.235,"Asia","Pre-2020"
"Afghanistan","AFG","South Asia","Low income",2021,408.625855217403,11.994,5.1332034082496,60.417,40.932,"Asia","Post-2020"
"Afghanistan","AFG","South Asia","Low income",2022,377.665627080705,14.1,13.7121023720065,65.617,37.64,"Asia","Post-2020"
"Afghanistan","AFG","South Asia","Low income",2023,378.06630312259,13.991,-4.64470870797776,66.035,37.673,"Asia","Post-2020"
"Afghanistan","AFG","South Asia","Low income",2017,562.769574140988,11.184,4.97595150553836,62.406,47.305,"Asia","Pre-2020"
"Afghanistan","AFG","South Asia","Low income",2020,527.834554499306,11.71,5.60188791482222,61.454,41.579,"Asia","Post-2020"
"Afghanistan","AFG","South Asia","Low income",2015,565.569730408751,9.052,-0.661709164713771,62.27,47.165,"Asia","Pre-2020"
"Albania","ALB","Europe & Central Asia","Upper middle income",2016,4143.98988316994,15.418,1.27543168367414,78.643,57.314,"Europe","Pre-2020"
"Albania","ALB","Europe & Central Asia","Upper middle income",2023,5444.93000074979,10.108,4.75976421930108,79.602,60.432,"Europe","Post-2020"
"Albania","ALB","Europe & Central Asia","Upper middle income",2015,3981.72662261867,17.193,1.89617402592365,78.358,55.497,"Europe","Pre-2020"
"Albania","ALB","Europe & Central Asia","Upper middle income",2018,4452.23714652476,12.304,2.02805963071135,79.238,59.296,"Europe","Pre-2020"
"Albania","ALB","Europe & Central Asia","Upper middle income",2019,4563.4673625169,11.466,1.41109078954247,79.467,60.306,"Europe","Pre-2020"
"Albania","ALB","Europe & Central Asia","Upper middle income",2020,4437.65346927974,11.69,1.62088661717011,77.824,57.78,"Europe","Post-2020"
"Albania","ALB","Europe & Central Asia","Upper middle income",2022,5178.88431481499,10.137,6.72520271530052,78.769,60.421,"Europe","Post-2020"
"Albania","ALB","Europe & Central Asia","Upper middle income",2021,4880.72346162808,11.474,2.04147163139547,76.844,58.869,"Europe","Post-2020"
"Albania","ALB","Europe & Central Asia","Upper middle income",2017,4283.98262744437,13.616,1.98666133171195,78.9,58.057,"Europe","Pre-2020"
