"Country","iso3","Region","Income","Year","GDP","Unemployment","Inflation","LifeExp","LaborForce","Continent","COVID","logGDP"
"Afghanistan","AFG","South Asia","Low income",2019,557.861533207459,11.185,2.30237251516839,62.941,43.823,"Asia","Pre-2020",6.32590173801235
"Afghanistan","AFG","South Asia","Low income",2018,553.125151688293,11.196,0.626149149168802,62.443,45.57,"Asia","Pre-2020",6.317390566809
"Afghanistan","AFG","South Asia","Low income",2016,563.872336723147,10.133,4.38389195513915,62.646,47.235,"Asia","Pre-2020",6.33659975291289
"Afghanistan","AFG","South Asia","Low income",2021,408.625855217403,11.994,5.1332034082496,60.417,40.932,"Asia","Post-2020",6.01524419482248
"Afghanistan","AFG","South Asia","Low income",2022,377.665627080705,14.1,13.7121023720065,65.617,37.64,"Asia","Post-2020",5.93665356522376
"Afghanistan","AFG","South Asia","Low income",2023,378.06630312259,13.991,-4.64470870797776,66.035,37.673,"Asia","Post-2020",5.93771113205777
"Afghanistan","AFG","South Asia","Low income",2017,562.769574140988,11.184,4.97595150553836,62.406,47.305,"Asia","Pre-2020",6.33464561152851
"Afghanistan","AFG","South Asia","Low income",2020,527.834554499306,11.71,5.60188791482222,61.454,41.579,"Asia","Post-2020",6.27067563152229
"Afghanistan","AFG","South Asia","Low income",2015,565.569730408751,9.052,-0.661709164713771,62.27,47.165,"Asia","Pre-2020",6.33960016275853
"Albania","ALB","Europe & Central Asia","Upper middle income",2016,4143.98988316994,15.418,1.27543168367414,78.643,57.314,"Europe","Pre-2020",8.3296556268354
"Albania","ALB","Europe & Central Asia","Upper middle income",2023,5444.93000074979,10.108,4.75976421930108,79.602,60.432,"Europe","Post-2020",8.60262381981834
"Albania","ALB","Europe & Central Asia","Upper middle income",2015,3981.72662261867,17.193,1.89617402592365,78.358,55.497,"Europe","Pre-2020",8.28972194477754
"Albania","ALB","Europe & Central Asia","Upper middle income",2018,4452.23714652476,12.304,2.02805963071135,79.238,59.296,"Europe","Pre-2020",8.40138655935501
"Albania","ALB","Europe & Central Asia","Upper middle income",2019,4563.4673625169,11.466,1.41109078954247,79.467,60.306,"Europe","Pre-2020",8.42605710769299
"Albania","ALB","Europe & Central Asia","Upper middle income",2020,4437.65346927974,11.69,1.62088661717011,77.824,57.78,"Europe","Post-2020",8.39810633674507
"Albania","ALB","Europe & Central Asia","Upper middle income",2022,5178.88431481499,10.137,6.72520271530052,78.769,60.421,"Europe","Post-2020",8.55253800195684
"Albania","ALB","Europe & Central Asia","Upper middle income",2021,4880.72346162808,11.474,2.04147163139547,76.844,58.869,"Europe","Post-2020",8.49325360486433
"Albania","ALB","Europe & Central Asia","Upper middle income",2017,4283.98262744437,13.616,1.98666133171195,78.9,58.057,"Europe","Pre-2020",8.36287177675164
"Algeria","DZA","Middle East & North Africa","Upper middle income",2018,4717.0035885361,12.137,4.26999020467083,75.555,42.266,"Africa","Pre-2020",8.45914102057269
"Algeria","DZA","Middle East & North Africa","Upper middle income",2023,4660.40545687895,11.701,9.32217375928319,76.261,41.144,"Africa","Post-2020",8.44707228183611
"Algeria","DZA","Middle East & North Africa","Upper middle income",2015,4685.05902729002,11.206,4.78444700693894,75.159,42.453,"Africa","Pre-2020",8.45234721550783
"Algeria","DZA","Middle East & North Africa","Upper middle income",2016,4768.73140081027,10.202,6.39769480268751,75.31,42.326,"Africa","Pre-2020",8.47004527219424
"Algeria","DZA","Middle East & North Africa","Upper middle income",2019,4672.66408678635,12.259,1.95176821052892,75.682,42.182,"Africa","Pre-2020",8.44969864404938
"Algeria","DZA","Middle East & North Africa","Upper middle income",2020,4363.68533767783,14.057,2.41513094083414,73.257,39.552,"Africa","Post-2020",8.38130137808714
"Algeria","DZA","Middle East & North Africa","Upper middle income",2017,4742.90075532529,12,5.5911159096167,75.431,42.313,"Africa","Pre-2020",8.46461502041769
"Algeria","DZA","Middle East & North Africa","Upper middle income",2022,4544.46688060372,12.346,9.26551551551555,76.129,41.398,"Africa","Post-2020",8.42188572534105
"Algeria","DZA","Middle East & North Africa","Upper middle income",2021,4456.74687637774,13.63,7.22606307415475,75.208,39.852,"Africa","Post-2020",8.40239873269667
"American Samoa","ASM","East Asia & Pacific","High income",2016,12665.2829921268,NA,NA,72.64,NA,"Oceania","Pre-2020",9.44669885948641
"American Samoa","ASM","East Asia & Pacific","High income",2018,12412.6024074562,NA,NA,72.794,NA,"Oceania","Pre-2020",9.42654811870624
"American Samoa","ASM","East Asia & Pacific","High income",2020,13194.274740128,NA,NA,72.672,NA,"Oceania","Post-2020",9.48761407025366
"American Samoa","ASM","East Asia & Pacific","High income",2022,13709.0974895473,NA,NA,72.752,NA,"Oceania","Post-2020",9.52588788336604
"American Samoa","ASM","East Asia & Pacific","High income",2015,12727.4102651386,NA,NA,72.654,NA,"Oceania","Pre-2020",9.45159180277427
"American Samoa","ASM","East Asia & Pacific","High income",2019,12524.0160252283,NA,NA,72.751,NA,"Oceania","Pre-2020",9.43548320541159
"American Samoa","ASM","East Asia & Pacific","High income",2021,13233.5784817341,NA,NA,72.708,NA,"Oceania","Post-2020",9.49058826539951
"American Samoa","ASM","East Asia & Pacific","High income",2017,11930.7771236826,NA,NA,72.801,NA,"Oceania","Pre-2020",9.38696046658679
"Andorra","AND","Europe & Central Asia","High income",2022,39780.3966116268,NA,NA,84.016,NA,"Europe","Post-2020",10.5911546601785
"Andorra","AND","Europe & Central Asia","High income",2023,40227.2335282714,NA,NA,84.041,NA,"Europe","Post-2020",10.6023243546651
"Andorra","AND","Europe & Central Asia","High income",2016,40085.0205971586,NA,NA,84.489,NA,"Europe","Pre-2020",10.5987829389776
"Andorra","AND","Europe & Central Asia","High income",2020,34536.6499209948,NA,NA,79.418,NA,"Europe","Post-2020",10.4498053100401
"Andorra","AND","Europe & Central Asia","High income",2018,39242.1448960772,NA,NA,84.242,NA,"Europe","Pre-2020",10.5775320556278
"Andorra","AND","Europe & Central Asia","High income",2015,38654.9347203095,NA,NA,84.532,NA,"Europe","Pre-2020",10.5624555925593
"Andorra","AND","Europe & Central Asia","High income",2021,36929.0191515162,NA,NA,82.331,NA,"Europe","Post-2020",10.5167800264361
"Andorra","AND","Europe & Central Asia","High income",2017,39361.0622634329,NA,NA,84.359,NA,"Europe","Pre-2020",10.5805577446979
"Andorra","AND","Europe & Central Asia","High income",2019,39346.2750344286,NA,NA,84.098,NA,"Europe","Pre-2020",10.580182002005
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2021,2385.44881834294,15.799,25.7542948841891,62.958,76.372,"Africa","Post-2020",7.77756168988995
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2018,2775.74642272991,16.594,19.6289379701521,62.622,75.316,"Africa","Pre-2020",7.9290351697525
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2023,2334.66104267184,14.537,13.6441017767715,64.617,75.75,"Africa","Post-2020",7.7560502318239
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2019,2664.43850995544,16.497,17.080954143438,63.051,75.021,"Africa","Pre-2020",7.88812386713739
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2022,2382.02263952585,14.602,21.3552901320822,64.246,75.615,"Africa","Post-2020",7.7761249774841
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2017,2911.60084214038,16.61,29.8444799015679,62.122,75.609,"Africa","Pre-2020",7.97680172118542
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2016,3020.98332805417,16.575,30.6944150806719,61.619,75.899,"Africa","Pre-2020",8.01366862595915
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2015,3213.90261080059,16.49,9.35597215533781,61.042,76.187,"Africa","Pre-2020",8.07555234408245
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2020,2433.37637275564,16.69,22.271539247051,63.116,74.729,"Africa","Post-2020",7.79744589296371
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2018,18042.1596435727,NA,1.20715793367006,77.132,NA,"Americas","Pre-2020",9.80052192481976
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2017,16992.9327495236,NA,2.43248789041367,77.03,NA,"Americas","Pre-2020",9.74061166224858
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2016,16635.895232831,NA,-0.489437796230531,76.968,NA,"Americas","Pre-2020",9.71937811240069
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2015,16077.6340769406,NA,0.968993458825594,76.892,NA,"Americas","Pre-2020",9.68524659366099
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2023,17789.4058123944,NA,5.06713865364216,77.598,NA,"Americas","Post-2020",9.78641459166415
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2021,16084.7214406048,NA,2.06299638545329,77.197,NA,"Americas","Post-2020",9.68568729043013
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2022,17456.8722243104,NA,7.53107834634287,77.483,NA,"Americas","Post-2020",9.76754595623485
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2020,14950.8942397208,NA,0.625989707046714,77.161,NA,"Americas","Post-2020",9.61259327579048
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2019,18525.2588907167,NA,1.43135598182988,77.168,NA,"Americas","Pre-2020",9.82694440416935
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2016,13265.8860639123,8.085,64.0282824252507,76.105,59.02,"Americas","Pre-2020",9.4930264399485
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2017,13520.1129846159,8.347,64.0282824252507,76.543,58.808,"Americas","Pre-2020",9.51200766755607
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2020,11393.0505957877,11.461,42.0150947376509,75.878,56.023,"Americas","Post-2020",9.34084662059461
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2018,13058.3285449954,9.22,34.2772237131003,76.77,59.595,"Americas","Pre-2020",9.47725798841496
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2019,12706.3978108968,9.843,53.5483043492339,76.847,60.289,"Americas","Pre-2020",9.44993960765164
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2015,13679.6264980954,7.579,64.0282824252507,76.6,59.232,"Americas","Pre-2020",9.52373598677231
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2021,12549.2811699342,8.736,48.4093786255199,73.948,60.358,"Americas","Post-2020",9.43749834828779
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2022,13182.7933950725,6.805,72.430757531824,75.806,61.484,"Americas","Post-2020",9.48674358114301
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2023,12933.2497342121,6.139,133.488935594175,77.395,62.286,"Americas","Post-2020",9.46763409017115
"Armenia","ARM","Europe & Central Asia","Upper middle income",2017,3815.3747426037,17.704,0.969553268816178,75.2170731707317,62.013,"Asia","Pre-2020",8.24705623073497
"Armenia","ARM","Europe & Central Asia","Upper middle income",2015,3512.39350276709,18.261,3.73169119261694,74.8707317073171,61.886,"Asia","Pre-2020",8.16433765930538
"Armenia","ARM","Europe & Central Asia","Upper middle income",2020,4032.09043454955,18.175,1.2114357783847,73.3756097560976,62.452,"Asia","Post-2020",8.3022882182643
"Armenia","ARM","Europe & Central Asia","Upper middle income",2016,3533.88503607007,17.617,-1.40360755900904,74.8682926829268,62.016,"Asia","Pre-2020",8.17043605618092
"Armenia","ARM","Europe & Central Asia","Upper middle income",2019,4343.45839583019,18.304,1.44344660770699,76.2219512195122,63.176,"Asia","Pre-2020",8.37665637994849
"Armenia","ARM","Europe & Central Asia","Upper middle income",2023,5197.23509013575,13.245,1.98041877615558,77.4658536585366,62.033,"Asia","Post-2020",8.55607444121523
"Armenia","ARM","Europe & Central Asia","Upper middle income",2018,4027.83393010979,18.966,2.52023382001632,75.619512195122,61.981,"Asia","Pre-2020",8.3012322657044
"Armenia","ARM","Europe & Central Asia","Upper middle income",2022,4791.00481712183,13.379,8.64091108973852,74.7658536585366,62.208,"Asia","Post-2020",8.47470414503723
"Armenia","ARM","Europe & Central Asia","Upper middle income",2021,4264.79961505187,15.469,7.18483629443367,72.2780487804878,63.149,"Asia","Post-2020",8.35838492536637
"Aruba","ABW","Latin America & Caribbean","High income",2022,29917.1280287045,NA,1.27975785590536,76.226,NA,"Americas","Post-2020",10.3062198642455
"Aruba","ABW","Latin America & Caribbean","High income",2018,30334.1162224308,NA,3.62604141352957,75.88,NA,"Americas","Pre-2020",10.3200612716673
"Aruba","ABW","Latin America & Caribbean","High income",2015,27458.2253310273,NA,0.474763597342611,75.405,NA,"Americas","Pre-2020",10.2204574681093
